N,rho,AB_bias,AB_se,SYS_bias,SYS_se,AB_valid,SYS_valid,model,selection_type
5000,.25,.00089476368,.021526724,-.0087223286,.015783185,500,500,B,endogenous
5000,.5,.00032209037,.030812325,-.016363112,.018625524,500,500,B,endogenous
5000,.75,-.0016004107,.0475276,-.025636261,.024504099,500,500,B,endogenous
5000,.25,-.00096804794,.020221999,-.0055307439,.014026966,500,500,A,endogenous
5000,.5,-.0024265011,.029540434,-.012740898,.016226767,500,500,A,endogenous
5000,.75,-.0057329782,.048303079,-.021871522,.020837106,500,500,A,endogenous
2000,.75,-.009346121,.074759632,-.019853126,.030467018,500,500,A,endogenous
1500,.75,-.011209211,.089113005,-.017502837,.037180785,500,500,A,endogenous
1000,.75,-.016007945,.10326102,-.015142159,.044290818,500,500,A,endogenous
800,.75,-.029049538,.11434829,-.014315944,.046048939,500,500,A,endogenous
600,.75,-.031419873,.13889137,-.0095028738,.053259794,500,500,A,endogenous
400,.75,-.059989072,.16978151,-.0066195717,.063610248,500,500,A,endogenous
200,.75,-.11687802,.26035458,.0036254416,.091374934,500,500,A,endogenous
5000,.25,-.00096804794,.020221999,-.0055307439,.014026966,500,500,A,endogenous
4500,.25,.00050843775,.020870803,-.0050752521,.014627364,500,500,A,endogenous
4000,.25,-.0012876397,.02184077,-.0057641915,.015229658,500,500,A,endogenous
3500,.25,.00071033754,.022308573,-.0038970716,.016823424,500,500,A,endogenous
3000,.25,.00028676333,.024947396,-.0053651114,.017054202,500,500,A,endogenous
2500,.25,.0010687842,.028578227,-.0039789956,.018597413,500,500,A,endogenous
2000,.25,-.0018298886,.030076768,-.0049807383,.021013662,500,500,A,endogenous
1500,.25,-.0017159253,.035114631,-.0032330109,.025764177,500,500,A,endogenous
1000,.25,-.0021454545,.042109098,-.0035476952,.030706517,500,500,A,endogenous
800,.25,-.0062528276,.04819005,-.0038672416,.033410426,500,500,A,endogenous
600,.25,-.0038593085,.056863487,-.000091058704,.039541852,500,500,A,endogenous
400,.25,-.01020712,.069121547,-.00025728685,.050278492,500,500,A,endogenous
200,.25,-.01601111,.090472996,.0029453228,.071487837,500,500,A,endogenous
500,.75,-.034799352,.15309069,-.015189884,.069219463,500,500,B,endogenous
500,.5,-.014718852,.09936171,-.01456994,.059991643,500,500,B,endogenous
500,.25,-.0069710361,.069793306,-.0072088949,.051246535,500,500,B,endogenous
500,.25,-.0073790872,.063228309,-.0044512828,.045887042,500,500,A,endogenous
500,.5,-.014899919,.091590516,-.010555105,.052477524,500,500,A,endogenous
500,.75,-.039816275,.15301113,-.013732439,.063236773,500,500,A,endogenous
200,.75,-.11675669,.26013902,.0033373157,.09164235,500,500,A,endogenous
200,.5,-.038370658,.13935924,-.0026908871,.082522705,500,500,A,endogenous
200,.25,-.01609806,.089972585,.0029055057,.071379229,500,500,A,endogenous
200,.25,-.01609806,.089972585,.0029055057,.071379229,500,500,A,endogenous
200,.25,-.01609806,.089972585,.0029055057,.071379229,500,500,A,endogenous
5000,.25,.060457222,.028019784,.0012998909,.018612234,500,500,B,endogenous
5000,.75,.15205501,.065208115,-.0086127799,.025699604,500,500,B,endogenous
5000,.5,.092683248,.040996496,-.0039223977,.021270674,500,500,B,endogenous
5000,.75,-.0056714835,.048279192,-.021807488,.020838968,500,500,A,endogenous
5000,.25,-.00094909815,.020202639,-.0055153319,.013984764,500,500,A,endogenous
5000,.5,-.002384949,.029507622,-.012703652,.01619859,500,500,A,endogenous
5000,.75,-.0056714835,.048279192,-.021807488,.020838968,500,500,A,endogenous
5000,.25,.060457222,.028019784,.0012998909,.018612234,500,500,B,endogenous
5000,.5,.092683248,.040996496,-.0039223977,.021270674,500,500,B,endogenous
5000,.5,-.002384949,.029507622,-.012703652,.01619859,500,500,A,endogenous
5000,.25,-.00094909815,.020202639,-.0055153319,.013984764,500,500,A,endogenous
500,.5,.06468679,.11690196,-.0013428266,.070184872,500,500,B,endogenous
500,.25,.045452099,.081141666,.0028391087,.060542021,500,500,B,endogenous
500,.75,.086990163,.18169291,.0061645824,.078735992,500,500,B,endogenous
500,.25,-.0072464785,.062834971,-.0045302967,.045648538,500,500,A,endogenous
500,.5,-.014598285,.091111563,-.010622206,.052196909,500,500,A,endogenous
500,.75,-.039423708,.15219158,-.013840357,.063120373,500,500,A,endogenous
500,.5,-.014598285,.091111563,-.010622206,.052196909,500,500,A,endogenous
500,.25,-.0072464785,.062834971,-.0045302967,.045648538,500,500,A,endogenous
