N,rho,AB_bias,AB_se,SYS_bias,SYS_se,AB_valid,SYS_valid,model,selection_type
5000,.25,.0011342657,.03298749,.00041229272,.018698454,500,500,B,non_endogenous
5000,.5,-.00079939835,.055334702,.0003058232,.02061459,500,500,B,non_endogenous
5000,.75,-.016470436,.12681863,.00069326174,.022759356,500,500,B,non_endogenous
5000,.25,-.0016871074,.022754095,.00035046579,.0141543,500,500,A,non_endogenous
5000,.75,-.014831456,.081481859,3.6598444e-06,.018266911,500,500,A,non_endogenous
5000,.5,-.0042611747,.036783658,.00026670235,.015945315,500,500,A,non_endogenous
5000,.25,.0011342657,.03298749,.00041229272,.018698454,500,500,B,non_endogenous
5000,.75,-.016470436,.12681863,.00069326174,.022759356,500,500,B,non_endogenous
5000,.5,-.00079939835,.055334702,.0003058232,.02061459,500,500,B,non_endogenous
5000,.75,-.014831456,.081481859,3.6598444e-06,.018266911,500,500,A,non_endogenous
5000,.25,-.0016871074,.022754095,.00035046579,.0141543,500,500,A,non_endogenous
5000,.5,-.0042611747,.036783658,.00026670235,.015945315,500,500,A,non_endogenous
500,.75,-.2183639,.3481563,.01352878,.071432017,500,500,B,non_endogenous
500,.5,-.047864925,.15302938,.0055960719,.066387191,500,500,B,non_endogenous
500,.25,-.017562568,.092463136,.0046242955,.059769578,500,500,B,non_endogenous
500,.75,-.10656358,.25930998,.0049690544,.056280725,500,500,A,non_endogenous
500,.5,-.022774564,.1147131,.0018915747,.05019924,500,500,A,non_endogenous
500,.25,-.0092307627,.071238205,.001261528,.045410912,500,500,A,non_endogenous
500,.25,-.0092307627,.071238205,.001261528,.045410912,500,500,A,non_endogenous
500,.25,-.0092307627,.071238205,.001261528,.045410912,500,500,A,non_endogenous
500,.25,,,.001261528,.045410912,0,500,A,non_endogenous
